target_index,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,px_m,py_m,pz_m,qw,qx,qy,qz
0,1.451739039705237,-0.150269455166459,-2.383153574766813,5.866553265882899,-1.080795680452814,0.479351316638624,0.155532197679614,-0.224215359139900,0.531974430384818,0.294695300826203,0.073140681777399,0.760680379634463,-0.573733806202197
1,-5.973835128945650,-3.850382186914781,2.273371458396422,-6.207258969383160,-0.324830362190513,5.517680763614567,0.286386680716917,-0.148638643866581,0.239550585582951,0.332432601979372,0.218919824328168,0.781831525477636,-0.479898053159899
2,-5.222160202369292,3.846996459493511,-2.690055047987930,-4.568334116014239,-1.498489761314458,4.725670929641309,0.170337593608558,0.015279107632007,0.202605364948669,0.672063936075868,0.327642870242666,-0.509636161160092,0.425736066881073
3,-5.095659874410170,-4.959689854890728,1.300759391096704,2.526776200254318,-2.650810887074330,-2.468747182641465,0.104613850037557,0.136968527262279,-0.528081390043739,0.112251254839504,-0.779488730532039,0.325184836675414,0.523499567102869
4,-2.103597270183218,0.377825990755282,-2.571584184980512,3.726151184353876,-4.692274255176994,-3.151025098935105,-0.078021819345871,0.127535933907671,0.220836116712165,-0.015805310489124,0.965678748271219,-0.258833583269244,0.014829816913166
5,-3.640107918290049,-5.093714374357543,-2.006736343879859,-4.681116923199464,2.371561030985507,-1.130571766723321,0.385421861858368,-0.138982653931018,-0.065545649874982,0.342028691420018,0.517918774654191,0.691189269219074,-0.370180916880671
6,-4.021794689474673,-3.625180289752621,-0.526204205163824,4.616326855178510,-4.780036187249598,0.401396355528104,-0.235777346494528,0.506302981538335,-0.500641319849130,-0.433624522702466,-0.839069031275395,-0.140128669133680,-0.297147926380872
7,3.442731654335704,1.142084992270251,0.058887881706681,0.881808136000095,5.092136288351861,-3.731247616556014,0.213492783560133,0.245437126808932,-0.459078206431217,0.732781768433786,-0.089208754739508,0.295310268434092,0.606518361870656
8,-1.433351203813888,-6.118849985621128,-0.208511502980076,4.242027129486768,-1.918704918421844,-0.778773279158836,-0.228333193795619,0.921615416081834,0.078159594137529,0.185068084950598,-0.873757933153057,-0.381745682703427,-0.237838415572656
9,4.130687273804050,1.190537313476460,0.193484650443361,3.112653171397859,-4.502637671760390,-1.860173430349036,0.074270758958632,0.318927644818383,-0.499878153752708,-0.924968051444206,-0.147393742354733,0.023828936500042,-0.349487296346308
10,5.477604431970812,-3.334872066452279,-1.971105215381627,-0.862367021329438,-0.216305894816984,1.074551245606102,-0.007349377935003,-0.326795961004894,-0.340459293540572,-0.684194168525552,-0.440261134310232,0.542100949689365,-0.210178575781129
11,-4.137255384776641,-0.805200702513174,0.778472237141472,-3.078402884877981,1.895555736837899,-4.413746683861883,0.409482366911523,-0.444000647187712,0.583276757922865,-0.137136527369235,0.616638360793062,-0.320130082402184,-0.706022262539025
12,4.402502329954020,-2.471845682813528,2.598789383589482,-4.721093153702999,-3.118315852781390,2.690005618583042,-0.045632772933357,-0.030929951298479,0.391313997501367,-0.303673877106796,-0.692866567613324,-0.091541377353758,-0.647563334415125
13,3.957119374901817,0.022758634423139,-2.767157623890933,-2.714813103438651,3.934180388145032,6.217068204932355,-0.086454189693904,0.001244919561766,0.289298286739746,-0.845101732946194,-0.437001294276963,-0.218439528327345,0.217064742037315
14,0.530212032610329,-2.721094308892714,-0.797586357671074,-2.581202858922785,-2.362689332716020,2.234980396528847,0.756214680503944,0.370463149848399,0.106631648718593,-0.602827048085287,0.608477507806877,0.256379357917687,0.447911037398753
15,2.557231335164481,2.953672080766928,-1.559230487438930,5.427195314233646,5.505996082359426,-4.206958920117044,-0.270610793523435,0.425117837842478,-0.352205297228777,-0.793988244073193,0.523390535921871,0.215062778971955,0.222245396536901
